LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID18472,18472,15,81.1014633178711,725.0738176841276,72.43221595281608,0.0,22.0,22,6.0,1,,3071.191335740072,3136.0,2254.0,3663.0,850720.0,361.52154735232716,-0.10873483026242546,-2.0728335458322715
ID18486,18486,15,106.82240295410156,724.289420855907,74.46972264420619,0.0,23.0,23,6.0,1,,3015.924187725632,3135.0,1749.0,3645.0,835411.0,453.51040369616703,-0.12203198028329333,-1.8486645940462372
ID18500,18500,15,149.87896728515625,722.7582144147523,77.9764875444272,0.0,24.0,24,6.0,1,,2950.494584837545,3082.0,1497.0,3788.0,817287.0,590.2094237809536,-0.1391659193102573,-1.6163377583167042
ID18516,18516,15,170.23367309570312,721.1701779861397,81.11066244747833,0.0,25.0,25,6.0,1,,2939.649819494585,3066.0,1465.0,3909.0,814283.0,691.7853635689002,-0.14472322136706725,-1.4380890036349019
ID18528,18528,15,180.66961669921875,719.9941026814071,83.34297644931216,0.0,26.0,26,6.0,1,,2956.2815884476536,3091.0,1421.0,4048.0,818890.0,791.0664239413293,-0.14347032363876075,-1.2519370896095847
ID18541,18541,15,179.95286560058594,718.2840069119254,87.45669845121597,0.0,27.0,27,6.0,1,,3001.57761732852,3128.0,1256.0,4095.0,831437.0,955.5638815987355,-0.13692852179457482,-0.9967058399810758
ID18552,18552,15,159.1295166015625,716.0833816938382,91.04869770414378,0.0,28.0,28,6.0,1,,3027.7184115523464,3026.0,1499.0,4095.0,838678.0,827.1345334120001,-0.13286279439432166,-1.1217210916547322
ID18562,18562,15,161.81419372558594,714.1591071411875,93.69600888768255,0.0,29.0,29,6.0,1,,3053.2238267148014,2972.0,1405.0,4095.0,845743.0,949.1933496066401,-0.12824550730942663,-0.9464156591903959
ID18574,18574,15,131.02996826171875,710.6566248309232,97.15371177940942,0.0,30.0,30,6.0,1,,3125.2527075812272,3003.0,1562.0,4095.0,865695.0,857.649717167079,-0.11554239299579698,-0.9520714092088508
ID18586,18586,15,103.63497924804688,708.3558416399092,99.69006657562598,0.0,31.0,31,6.0,1,,3178.6895306859205,3149.0,2128.0,4095.0,880497.0,630.9120821742713,-0.10600374413914933,-1.194798773355357
ID18598,18598,15,103.75420379638672,707.3154269781824,102.29714305412737,0.0,32.0,32,6.0,1,,3192.2888086642597,3046.0,2090.0,4095.0,884264.0,630.0191476711414,-0.10431610060971319,-1.180252690889566
ID18609,18609,15,106.86984252929688,707.9861415114057,106.11829382820038,0.0,33.0,33,6.0,1,,3184.537906137184,3041.0,2187.0,4095.0,882117.0,647.4086943960963,-0.10593811247517987,-1.1656885743361585
ID18620,18620,15,106.81732940673828,709.2579365360854,108.56809338689757,0.0,34.0,34,6.0,1,,3183.5559566787006,3134.0,2139.0,4095.0,881845.0,625.0558247030311,-0.10672566826808753,-1.2170479943212862
ID18633,18633,15,131.7718048095703,712.0861908785145,112.132367876207,0.0,35.0,35,6.0,1,,3138.505415162455,3084.0,1766.0,4095.0,869366.0,855.8608371782743,-0.1148201496581083,-0.9513412169314897
ID18646,18646,15,146.6065216064453,713.7544357711415,113.4694931631991,0.0,36.0,36,6.0,1,,3108.7328519855596,3042.0,1566.0,4095.0,861119.0,925.9934896456416,-0.12005851832536535,-0.9161037331511774
ID18659,18659,15,181.0009002685547,717.0319562957984,115.53970170041988,0.0,37.0,37,6.0,1,,3030.0505415162456,3146.0,1301.0,4095.0,839324.0,1000.0166290146714,-0.13520935613153315,-0.9474764164523636
ID18670,18670,15,184.5626678466797,719.1403407886157,116.85217652876352,0.0,38.0,38,6.0,1,,2997.5018050541516,3096.0,1396.0,4095.0,830308.0,862.8833851742503,-0.141825676559752,-1.1481977458168868
ID18682,18682,15,188.1625213623047,720.7709716524955,118.22004981540265,0.0,39.0,39,6.0,1,,2975.98916967509,3148.0,1437.0,4036.0,824349.0,783.518256697271,-0.14639708828727305,-1.302833067278352
ID18694,18694,15,171.2877197265625,722.7932460121375,120.25803146174984,0.0,40.0,40,6.0,1,,2983.7725631768953,3158.0,1709.0,3871.0,826505.0,652.980936844388,-0.1445678526597793,-1.5444767405579678
ID18706,18706,15,136.23585510253906,724.1918124556303,122.33986468855922,0.0,41.0,41,6.0,1,,3034.4981949458484,3177.0,1606.0,3724.0,840556.0,543.729243312296,-0.13224638039577452,-1.7010675039809433
ID18717,18717,15,109.91424560546875,724.9013364640043,123.84476306441371,0.0,42.0,42,6.0,1,,3083.693140794224,3198.0,1859.0,3741.0,854183.0,461.2327170359611,-0.12087814976671711,-1.8385683255092782
ID18730,18730,15,74.98296356201172,725.7620326758998,126.3461655508578,0.0,43.0,43,6.0,1,,3148.5884476534297,3186.0,2451.0,3675.0,872159.0,318.3792918662396,-0.10474116142167812,-2.314034602428664
ID18743,18743,15,46.96147918701172,726.7654673522026,129.36350549798425,0.0,44.0,44,6.0,1,,3230.9783393501807,3238.0,2832.0,3645.0,894981.0,203.4639329042974,-0.08643100884099694,-3.0047257526907067
ID18756,18756,15,31.3150691986084,727.3677079809622,131.45312766237527,0.0,45.0,45,6.0,1,,3299.873646209386,3286.0,3024.0,3608.0,914065.0,142.9927607574883,-0.07171423112058548,-3.5656352072048634
ID18769,18769,15,19.57581901550293,727.9569121325893,134.3562483731951,0.0,46.0,46,6.0,1,,3370.5451263537907,3358.0,3193.0,3592.0,933641.0,90.42361429102114,-0.058709912973074124,-4.649820963931013
ID18781,18781,15,10.986662864685059,728.9482854457109,138.65281626861483,0.0,47.0,47,6.0,1,,3454.357400722022,3451.0,3305.0,3629.0,956857.0,66.60731825702928,-0.04357169375586887,-4.725277715736555
ID18793,18793,15,7.339581489562988,729.3146123794768,141.88968547645572,0.0,48.0,48,6.0,1,,3512.638989169675,3508.0,3378.0,3691.0,973001.0,60.79610431946929,-0.03427045695467559,-4.100644682356149
ID18805,18805,15,5.414798736572266,729.5815406069502,144.75492396529418,0.0,49.0,49,6.0,1,,3552.797833935018,3542.0,3395.0,3764.0,984125.0,64.17493863584407,-0.02920475053043037,-3.330894575882194
ID18817,18817,15,3.3148419857025146,730.1539266102246,147.2893966052641,0.0,50.0,50,6.0,1,,3606.3862815884477,3603.0,3470.0,3791.0,998969.0,59.29616369137738,-0.022152763203385592,-2.755703791996441
