LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID151115,151115,84,55480.0703125,551.3398764582629,281.5220014553272,0.0,12.0,12,6.0,1,,35413.20938628159,35042.0,11456.0,59218.0,9809459.0,13095.660100601697,-0.20979222576671808,-1.4358728410457111
ID151234,151234,84,53902.234375,549.4612231548784,278.7430107755028,0.0,13.0,13,6.0,1,,36647.252707581225,34368.0,9518.0,59976.0,1.0151289E7,16918.92387714257,-0.18960722706017763,-1.0135799469464748
ID151345,151345,84,42991.16015625,548.2785881030806,277.11546275528497,0.0,14.0,14,6.0,1,,38071.96028880867,36979.0,13814.0,61239.0,1.0545933E7,14622.967456254497,-0.16407430562003592,-1.0220511267065187
ID151453,151453,84,33870.375,546.6163202367065,275.0286961070102,0.0,15.0,15,6.0,1,,39075.79422382671,40180.0,17605.0,58797.0,1.0823995E7,11393.798617960265,-0.1470956484436244,-1.1829564738162552
ID151562,151562,84,23353.263671875,545.52760466225,273.3274996660358,0.0,16.0,16,6.0,1,,40003.03971119133,39843.0,22828.0,55848.0,1.1080842E7,8136.150576589582,-0.1313823415663735,-1.487347183001613
ID151673,151673,84,15902.7177734375,544.3384352632107,271.84594505537734,0.0,17.0,17,6.0,1,,40515.407942238264,40686.0,22743.0,58123.0,1.1222768E7,7255.42351137113,-0.12213057719886958,-1.5537528241682448
ID151785,151785,84,8625.853515625,542.0418525412248,269.1965566856042,0.0,18.0,18,6.0,1,,41986.68953068592,40938.0,29482.0,63261.0,1.1630313E7,6691.549685470076,-0.0979303871569548,-1.3623614321847863
ID151897,151897,84,6263.9482421875,541.2655026103214,267.77347837043214,0.0,19.0,19,6.0,1,,43169.03971119133,41949.0,32262.0,61829.0,1.1957824E7,5963.442356049447,-0.08063398015077225,-1.2697990779956136
ID149697,149697,85,23650.3984375,592.2924187965255,469.5377318558605,0.0,0.0,0,6.0,1,,39320.92418772563,40433.0,20806.0,50963.0,1.0891896E7,7211.832666590257,-0.13961230716869336,-1.7694471094230284
ID149813,149813,85,30125.521484375,588.7706011263898,466.6261988934542,0.0,1.0,1,6.0,1,,38876.606498194946,39843.0,17436.0,50373.0,1.076882E7,7469.309204062958,-0.1567770383059192,-1.9354320919158599
